FlightID,AircraftModel,TailNumber
F1,Boeing 777-300ER,VT-PDK
F2,Boeing 737-900,VT-XMU
F3,Airbus A319,VT-NHB
F4,Boeing 737-900,VT-UHM
F5,Airbus A320,VT-TAW
F6,Airbus A319,VT-BTW
F7,ATR 72-600,VT-YGM
F8,Boeing 787-8,VT-RXG
F9,Airbus A321,VT-TMU
F10,Airbus A319,VT-TSB
F11,Airbus A320,VT-FQV
F12,Boeing 737-900,VT-OLB
F13,ATR 72-600,VT-XWR
F14,Bombardier Q400,VT-NSN
F15,Airbus A321,VT-ANA
F16,ATR 72-600,VT-VHA
F17,Boeing 737-900,VT-VLA
F18,ATR 72-600,VT-IYD
F19,Boeing 787-8,VT-SON
F20,Boeing 787-8,VT-VQT
F21,Boeing 777-300ER,VT-SAY
F22,Airbus A319,VT-NAU
F23,Airbus A320,VT-HXJ
F24,Airbus A319,VT-IBG
F25,Boeing 737-900,VT-WCX
F26,Boeing 737-800,VT-RNH
F27,Boeing 737-900,VT-IGD
F28,Boeing 737-900,VT-EYR
F29,Boeing 787-8,VT-IES
F30,Airbus A321,VT-VHM
F31,Airbus A321,VT-RFA
F32,Airbus A321,VT-YDR
F33,ATR 72-600,VT-IXN
F34,Boeing 777-300ER,VT-QHQ
F35,Bombardier Q400,VT-WIN
F36,Airbus A321,VT-RSW
F37,Boeing 787-8,VT-OXN
F38,Boeing 787-8,VT-BPV
F39,Boeing 777-300ER,VT-YAS
F40,Airbus A321,VT-PIU
F41,Airbus A319,VT-LHJ
F42,Airbus A320,VT-TLX
F43,Boeing 737-900,VT-QZW
F44,Airbus A320,VT-IPG
F45,Boeing 737-900,VT-GAS
F46,Airbus A321,VT-WQF
F47,Airbus A321,VT-BCC
F48,Airbus A321,VT-UOS
F49,Boeing 737-900,VT-ETR
F50,Airbus A319,VT-AYC
F51,Bombardier Q400,VT-NKY
F52,ATR 72-600,VT-TAG
F53,Boeing 737-900,VT-TTD
F54,Boeing 737-800,VT-KMD
F55,Boeing 737-900,VT-UPF
F56,Boeing 737-900,VT-PQY
F57,Boeing 777-300ER,VT-YUX
F58,Boeing 737-800,VT-FOR
F59,Boeing 737-900,VT-DGE
F60,Airbus A320,VT-UXE
F61,Bombardier Q400,VT-RCR
F62,Boeing 737-800,VT-UMO
F63,Airbus A319,VT-BFO
F64,Bombardier Q400,VT-KES
F65,Airbus A321,VT-KJD
F66,Bombardier Q400,VT-UCD
F67,Boeing 737-800,VT-UXR
F68,ATR 72-600,VT-TVE
F69,Bombardier Q400,VT-TSG
F70,Airbus A321,VT-LAC
F71,Bombardier Q400,VT-CCA
F72,Boeing 787-8,VT-BVH
F73,Boeing 737-900,VT-RMF
F74,Airbus A320,VT-SIB
F75,Airbus A319,VT-KPN
F76,ATR 72-600,VT-HAS
F77,Airbus A320,VT-MLJ
F78,Boeing 737-800,VT-DRQ
F79,Airbus A319,VT-MVD
F80,Bombardier Q400,VT-MZW
F81,Boeing 737-800,VT-JVJ
F82,ATR 72-600,VT-VVO
F83,Boeing 737-800,VT-CCX
F84,Airbus A321,VT-XGF
F85,Bombardier Q400,VT-LRB
F86,Bombardier Q400,VT-PZV
F87,Boeing 737-800,VT-RMV
F88,Boeing 777-300ER,VT-FXG
F89,Airbus A321,VT-ZTK
F90,Boeing 737-800,VT-VRS
F91,Airbus A320,VT-IWW
F92,Boeing 777-300ER,VT-EIL
F93,Airbus A319,VT-KTW
F94,ATR 72-600,VT-SVZ
F95,Boeing 737-800,VT-ZLD
F96,Boeing 737-900,VT-MEM
F97,Boeing 737-800,VT-EHQ
F98,Boeing 787-8,VT-SGD
F99,Boeing 737-900,VT-LSI
F100,Bombardier Q400,VT-GBR
F101,Boeing 737-900,VT-BBE
F102,Boeing 787-8,VT-NWV
F103,Bombardier Q400,VT-OVH
F104,Boeing 787-8,VT-ZUZ
F105,ATR 72-600,VT-KBP
F106,Airbus A321,VT-HCY
F107,Airbus A320,VT-UDN
F108,Boeing 737-800,VT-PLQ
F109,Bombardier Q400,VT-WCG
F110,Airbus A320,VT-XDI
F111,Bombardier Q400,VT-NVU
F112,Airbus A321,VT-GZZ
F113,Boeing 737-800,VT-KVT
F114,Boeing 737-800,VT-YTC
F115,Boeing 737-900,VT-IQP
F116,Boeing 737-900,VT-GWL
F117,Airbus A321,VT-BFX
F118,Airbus A319,VT-HCX
F119,Boeing 777-300ER,VT-ZVU
F120,Airbus A321,VT-PDM
F121,Boeing 777-300ER,VT-EXZ
F122,Bombardier Q400,VT-JZS
F123,Airbus A321,VT-PZU
F124,Airbus A319,VT-PXU
F125,Boeing 787-8,VT-EBJ
F126,Boeing 737-800,VT-PHB
F127,Bombardier Q400,VT-UHM
F128,Boeing 737-800,VT-PYJ
F129,Boeing 737-900,VT-ZVE
F130,Bombardier Q400,VT-XMC
F131,Boeing 737-900,VT-YRH
F132,Boeing 787-8,VT-VDE
F133,ATR 72-600,VT-TYB
F134,Airbus A320,VT-RBX
F135,Boeing 777-300ER,VT-NLR
F136,Airbus A320,VT-DMW
F137,Airbus A321,VT-FHM
F138,Airbus A321,VT-BWY
F139,Boeing 787-8,VT-IOP
F140,Boeing 787-8,VT-YYE
F141,Airbus A320,VT-WOE
F142,ATR 72-600,VT-TGT
F143,Boeing 737-900,VT-ALO
F144,Bombardier Q400,VT-LVO
F145,Boeing 787-8,VT-NNP
F146,Airbus A321,VT-MZJ
F147,Boeing 737-900,VT-WYK
F148,Boeing 787-8,VT-HTT
F149,Airbus A319,VT-PHC
F150,ATR 72-600,VT-GVX
F151,Boeing 787-8,VT-XAU
F152,ATR 72-600,VT-TWY
F153,Boeing 777-300ER,VT-WTX
F154,Airbus A319,VT-GWO
F155,Boeing 737-900,VT-RER
F156,Airbus A320,VT-TQM
F157,Boeing 787-8,VT-NAT
F158,Bombardier Q400,VT-MYA
F159,Airbus A319,VT-IYP
F160,Bombardier Q400,VT-WEO
F161,Airbus A319,VT-CDP
F162,Boeing 777-300ER,VT-YSF
F163,Boeing 737-800,VT-NDC
F164,Bombardier Q400,VT-JRI
F165,Boeing 787-8,VT-HPN
F166,Airbus A320,VT-TQA
F167,Boeing 737-900,VT-NVJ
F168,Airbus A321,VT-HIW
F169,Airbus A321,VT-PJI
F170,Bombardier Q400,VT-XQB
F171,ATR 72-600,VT-DWF
F172,ATR 72-600,VT-GJD
F173,ATR 72-600,VT-GZY
F174,Airbus A321,VT-NZT
F175,Boeing 787-8,VT-USN
F176,Airbus A319,VT-SDY
F177,Bombardier Q400,VT-CVR
F178,Boeing 737-800,VT-ZFR
F179,Airbus A321,VT-NIR
F180,ATR 72-600,VT-QQS
F181,Airbus A321,VT-FXT
F182,ATR 72-600,VT-NPH
F183,Boeing 777-300ER,VT-JSF
F184,ATR 72-600,VT-MQA
F185,Airbus A320,VT-FZP
F186,Bombardier Q400,VT-GRC
F187,Airbus A321,VT-LKU
F188,Boeing 737-800,VT-KTB
F189,Bombardier Q400,VT-VWC
F190,Boeing 737-900,VT-OJP
F191,Boeing 777-300ER,VT-WDA
F192,Airbus A319,VT-RPJ
F193,Boeing 777-300ER,VT-HQQ
F194,Boeing 737-900,VT-PZC
F195,ATR 72-600,VT-TOE
F196,Boeing 777-300ER,VT-DDN
F197,Bombardier Q400,VT-JKL
F198,Boeing 737-800,VT-TXT
F199,Boeing 777-300ER,VT-GGW
F200,ATR 72-600,VT-HCL
F201,Airbus A321,VT-DWI
F202,Boeing 777-300ER,VT-MUV
F203,Boeing 737-900,VT-MPA
F204,Bombardier Q400,VT-WQV
F205,Boeing 737-900,VT-EIZ
F206,Airbus A320,VT-EKI
F207,Airbus A319,VT-EFX
F208,Boeing 787-8,VT-GEP
F209,ATR 72-600,VT-UNX
F210,Boeing 737-900,VT-WNB
F211,Boeing 737-800,VT-QFI
F212,Boeing 737-800,VT-TPX
F213,Boeing 787-8,VT-GJJ
F214,Bombardier Q400,VT-EEV
F215,Airbus A319,VT-DVZ
F216,Boeing 737-900,VT-QGA
F217,Airbus A320,VT-SRJ
F218,Airbus A319,VT-ZOF
F219,Boeing 737-800,VT-DPY
F220,Airbus A320,VT-NGO
F221,Airbus A319,VT-YLM
F222,ATR 72-600,VT-QXT
F223,Airbus A320,VT-BXZ
F224,Airbus A320,VT-UWG
F225,Airbus A320,VT-SND
F226,Boeing 737-800,VT-GEL
F227,ATR 72-600,VT-CMI
F228,Bombardier Q400,VT-LSY
F229,Boeing 777-300ER,VT-XCH
F230,Airbus A320,VT-XJW
F231,Airbus A320,VT-IUP
F232,Bombardier Q400,VT-XEA
F233,Airbus A319,VT-QHG
F234,Bombardier Q400,VT-GFH
F235,Boeing 737-900,VT-EKT
F236,Boeing 737-800,VT-ZBP
F237,Boeing 737-900,VT-SMP
F238,Airbus A321,VT-SFZ
F239,ATR 72-600,VT-MFB
F240,Boeing 737-900,VT-VXU
F241,Airbus A320,VT-JFS
F242,Boeing 787-8,VT-ETD
F243,Airbus A320,VT-TZQ
F244,Boeing 787-8,VT-UMM
F245,Airbus A319,VT-CVM
F246,Boeing 737-900,VT-LQB
F247,Airbus A321,VT-PTU
F248,Airbus A321,VT-VIY
F249,Airbus A320,VT-WSK
F250,Boeing 787-8,VT-QPI
F251,Airbus A320,VT-GDK
F252,ATR 72-600,VT-QXW
F253,ATR 72-600,VT-ASD
F254,Bombardier Q400,VT-FIC
F255,ATR 72-600,VT-BFV
F256,Boeing 737-900,VT-WZP
F257,Airbus A319,VT-AXU
F258,Boeing 787-8,VT-MUO
F259,ATR 72-600,VT-QER
F260,Boeing 737-900,VT-OYP
F261,ATR 72-600,VT-HVW
F262,Airbus A319,VT-TRE
F263,Bombardier Q400,VT-RJU
F264,Boeing 787-8,VT-EDN
F265,Boeing 737-800,VT-DMB
F266,Boeing 777-300ER,VT-OEJ
F267,Airbus A319,VT-TWG
F268,Boeing 737-800,VT-OJB
F269,Boeing 777-300ER,VT-GUI
F270,Boeing 737-900,VT-HCQ
F271,Boeing 787-8,VT-CRC
F272,Boeing 777-300ER,VT-AFF
F273,Airbus A319,VT-OJA
F274,Boeing 787-8,VT-MDA
F275,Boeing 787-8,VT-MYZ
F276,Airbus A319,VT-WHG
F277,Boeing 737-900,VT-EAW
F278,Airbus A320,VT-HOW
F279,Airbus A320,VT-TQS
