FlightID,BookingDate,TravelDate,FareAmount
F1,2019-03-22,2019-03-24,3897
F2,2019-04-01,2019-05-01,7662
F3,2019-06-04,2019-06-09,13882
F4,2019-04-21,2019-05-12,6218
F5,2019-02-17,2019-03-01,13302
F6,2019-06-04,2019-06-24,3873
F7,2019-03-04,2019-03-12,11087
F8,2019-02-17,2019-03-01,22270
F9,2019-02-17,2019-03-12,11087
F10,2019-05-04,2019-05-27,8625
F11,2019-05-24,2019-06-01,8907
F12,2019-03-31,2019-04-18,4174
F13,2019-06-22,2019-06-24,4667
F14,2019-04-26,2019-05-09,9663
F15,2019-04-09,2019-04-24,4804
F16,2019-02-16,2019-03-03,14011
F17,2019-03-28,2019-04-15,5830
F18,2019-05-28,2019-06-12,10262
F19,2019-05-26,2019-06-12,13381
F20,2019-05-12,2019-05-27,12898
F21,2019-02-16,2019-03-06,19495
F22,2019-03-08,2019-03-21,6955
F23,2019-03-20,2019-04-03,3943
F24,2019-04-06,2019-05-01,4823
F25,2019-04-23,2019-05-06,7757
F26,2019-06-07,2019-06-09,13292
F27,2019-05-28,2019-06-01,8238
F28,2019-04-20,2019-05-15,7682
F29,2019-06-15,2019-06-18,4668
F30,2019-05-17,2019-06-15,3687
F31,2019-05-27,2019-06-18,3687
F32,2019-04-17,2019-05-01,13227
F33,2019-03-09,2019-04-06,4423
F34,2019-05-29,2019-06-15,10919
F35,2019-05-09,2019-05-18,12373
F36,2019-06-07,2019-06-27,5894
F37,2019-05-07,2019-05-21,4649
F38,2019-05-15,2019-05-18,6245
F39,2019-02-16,2019-03-06,19225
F40,2019-06-02,2019-06-03,14924
F41,2019-05-17,2019-05-21,9646
F42,2019-03-12,2019-03-15,8714
F43,2019-04-26,2019-05-18,12373
F44,2019-05-02,2019-05-06,3383
F45,2019-02-25,2019-03-21,13062
F46,2019-02-25,2019-03-24,3527
F47,2019-05-26,2019-05-27,3943
F48,2019-04-24,2019-05-03,4667
F49,2019-05-03,2019-05-15,6117
F50,2019-06-08,2019-06-27,11150
F51,2019-02-09,2019-03-09,7202
F52,2019-04-25,2019-05-01,12121
F53,2019-02-24,2019-03-24,4377
F54,2019-05-31,2019-06-18,3943
F55,2019-03-13,2019-04-03,4483
F56,2019-03-19,2019-03-24,14231
F57,2019-02-01,2019-03-01,17345
F58,2019-02-15,2019-03-06,7414
F59,2019-04-26,2019-05-06,8073
F60,2019-02-09,2019-03-06,12395
F61,2019-05-19,2019-06-06,8366
F62,2019-03-19,2019-04-03,5117
F63,2019-06-01,2019-06-03,12524
F64,2019-04-16,2019-05-15,7191
F65,2019-04-27,2019-05-24,3687
F66,2019-06-04,2019-06-24,5894
F67,2019-04-20,2019-04-24,5403
F68,2019-04-08,2019-05-06,3625
F69,2019-04-29,2019-05-21,10861
F70,2019-03-03,2019-03-12,6297
F71,2019-05-28,2019-06-01,5678
F72,2019-02-18,2019-03-09,9134
F73,2019-06-05,2019-06-24,10791
F74,2019-06-10,2019-06-24,12819
F75,2019-03-11,2019-03-21,6893
F76,2019-03-03,2019-03-09,7240
F77,2019-03-22,2019-04-03,3898
F78,2019-03-18,2019-04-03,4049
F79,2019-05-28,2019-06-15,10262
F80,2019-03-02,2019-03-21,3332
F81,2019-05-31,2019-06-09,10844
F82,2019-03-20,2019-03-24,7229
F83,2019-04-23,2019-05-06,13941
F84,2019-05-29,2019-06-27,5894
F85,2019-05-07,2019-05-18,10197
F86,2019-02-06,2019-03-06,13712
F87,2019-05-27,2019-06-24,5636
F88,2019-05-18,2019-06-06,13014
F89,2019-03-09,2019-04-01,7064
F90,2019-05-16,2019-05-24,10703
F91,2019-05-07,2019-05-27,9646
F92,2019-02-17,2019-03-06,17057
F93,2019-02-11,2019-03-12,13817
F94,2019-02-06,2019-03-06,13748
F95,2019-03-26,2019-04-21,4880
F96,2019-06-02,2019-06-21,3540
F97,2019-05-09,2019-05-15,3257
