FlightID,RouteID,FlightNumber,DepartureTime,ArrivalTime
F1,R1,FL1,2019-03-24 22:20:00,2019-03-25 01:10:00
F2,R2,FL2,2019-05-01 05:50:00,2019-05-01 13:15:00
F3,R3,FL3,2019-06-09 09:25:00,2019-06-10 04:25:00
F4,R2,FL4,2019-05-12 18:05:00,2019-05-12 23:30:00
F5,R1,FL5,2019-03-01 16:50:00,2019-03-01 21:35:00
F6,R2,FL6,2019-06-24 09:00:00,2019-06-24 11:25:00
F7,R1,FL7,2019-03-12 18:55:00,2019-03-13 10:25:00
F8,R1,FL8,2019-03-01 08:00:00,2019-03-02 05:05:00
F9,R1,FL9,2019-03-12 08:55:00,2019-03-13 10:25:00
F10,R3,FL10,2019-05-27 11:25:00,2019-05-27 19:15:00
F11,R3,FL11,2019-06-01 09:45:00,2019-06-01 23:00:00
F12,R2,FL12,2019-04-18 20:20:00,2019-04-18 22:55:00
F13,R4,FL13,2019-06-24 11:40:00,2019-06-24 13:55:00
F14,R2,FL14,2019-05-09 21:10:00,2019-05-10 09:20:00
F15,R2,FL15,2019-04-24 17:15:00,2019-04-24 19:50:00
F16,R3,FL16,2019-03-03 16:40:00,2019-03-04 19:15:00
F17,R3,FL17,2019-04-15 08:45:00,2019-04-15 13:15:00
F18,R3,FL18,2019-06-12 14:00:00,2019-06-13 12:35:00
F19,R3,FL19,2019-06-12 20:15:00,2019-06-13 19:15:00
F20,R3,FL20,2019-05-27 16:00:00,2019-05-28 12:35:00
F21,R3,FL21,2019-03-06 14:10:00,2019-03-06 19:20:00
F22,R1,FL22,2019-03-21 22:00:00,2019-03-22 13:20:00
F23,R1,FL23,2019-04-03 04:00:00,2019-04-03 06:50:00
F24,R1,FL24,2019-05-01 18:55:00,2019-05-01 21:50:00
F25,R2,FL25,2019-05-06 18:55:00,2019-05-07 08:15:00
F26,R3,FL26,2019-06-09 21:25:00,2019-06-10 12:35:00
F27,R3,FL27,2019-06-01 21:50:00,2019-06-02 03:35:00
F28,R3,FL28,2019-05-15 07:00:00,2019-05-15 12:55:00
F29,R1,FL29,2019-06-18 09:45:00,2019-06-18 12:35:00
F30,R4,FL30,2019-06-15 07:05:00,2019-06-15 09:20:00
F31,R4,FL31,2019-06-18 07:05:00,2019-06-18 09:20:00
F32,R2,FL32,2019-05-01 09:50:00,2019-05-01 23:15:00
F33,R1,FL33,2019-04-06 04:00:00,2019-04-06 06:50:00
F34,R3,FL34,2019-06-15 14:35:00,2019-06-16 12:35:00
F35,R3,FL35,2019-05-18 07:05:00,2019-05-18 12:35:00
F36,R3,FL36,2019-06-27 10:35:00,2019-06-27 21:00:00
F37,R2,FL37,2019-05-21 15:05:00,2019-05-21 20:20:00
F38,R2,FL38,2019-05-18 14:15:00,2019-05-18 16:45:00
F39,R1,FL39,2019-03-06 07:00:00,2019-03-06 13:15:00
F40,R3,FL40,2019-06-03 07:05:00,2019-06-03 19:00:00
F41,R3,FL41,2019-05-21 07:05:00,2019-05-21 18:10:00
F42,R1,FL42,2019-03-15 06:45:00,2019-03-15 15:15:00
F43,R3,FL43,2019-05-18 20:55:00,2019-05-19 19:00:00
F44,R1,FL44,2019-05-06 11:10:00,2019-05-06 13:55:00
F45,R3,FL45,2019-03-21 09:00:00,2019-03-21 21:00:00
F46,R1,FL46,2019-03-24 05:45:00,2019-03-24 08:35:00
F47,R1,FL47,2019-05-27 04:00:00,2019-05-27 06:50:00
F48,R4,FL48,2019-05-03 11:40:00,2019-05-03 13:55:00
F49,R2,FL49,2019-05-15 19:00:00,2019-05-16 11:04:59
F50,R3,FL50,2019-06-27 23:05:00,2019-06-28 19:00:00
F51,R3,FL51,2019-03-09 11:00:00,2019-03-09 14:15:00
F52,R2,FL52,2019-05-01 09:35:00,2019-05-02 10:55:00
F53,R1,FL53,2019-03-24 22:20:00,2019-03-25 01:10:00
F54,R1,FL54,2019-06-18 21:15:00,2019-06-19 00:15:00
F55,R1,FL55,2019-04-03 23:55:00,2019-04-04 02:45:00
F56,R2,FL56,2019-03-24 19:45:00,2019-03-25 12:00:00
F57,R1,FL57,2019-03-01 08:50:00,2019-03-01 23:55:00
F58,R4,FL58,2019-03-06 07:05:00,2019-03-06 09:20:00
F59,R3,FL59,2019-05-06 19:00:00,2019-05-07 01:30:00
F60,R5,FL60,2019-03-06 15:40:00,2019-03-07 16:45:00
F61,R2,FL61,2019-06-06 09:25:00,2019-06-06 21:50:00
F62,R3,FL62,2019-04-03 06:05:00,2019-04-04 09:25:00
F63,R3,FL63,2019-06-03 08:45:00,2019-06-03 19:00:00
F64,R3,FL64,2019-05-15 15:00:00,2019-05-16 01:30:00
F65,R4,FL65,2019-05-24 07:05:00,2019-05-24 09:20:00
F66,R3,FL66,2019-06-24 10:35:00,2019-06-24 21:00:00
F67,R1,FL67,2019-04-24 09:45:00,2019-04-24 12:35:00
F68,R5,FL68,2019-05-06 13:55:00,2019-05-06 15:25:00
F69,R3,FL69,2019-05-21 05:55:00,2019-05-21 19:15:00
F70,R4,FL70,2019-03-12 13:20:00,2019-03-12 15:35:00
F71,R5,FL71,2019-06-01 07:05:00,2019-06-01 08:30:00
F72,R1,FL72,2019-03-09 05:45:00,2019-03-10 08:15:00
F73,R3,FL73,2019-06-24 11:40:00,2019-06-24 19:00:00
F74,R3,FL74,2019-06-24 23:05:00,2019-06-25 12:35:00
F75,R3,FL75,2019-03-21 05:05:00,2019-03-21 10:05:00
F76,R1,FL76,2019-03-09 09:50:00,2019-03-09 12:35:00
F77,R1,FL77,2019-04-03 11:40:00,2019-04-03 14:30:00
F78,R5,FL78,2019-04-03 06:25:00,2019-04-03 07:55:00
F79,R3,FL79,2019-06-15 17:30:00,2019-06-16 12:35:00
F80,R4,FL80,2019-03-21 08:20:00,2019-03-21 10:35:00
F81,R2,FL81,2019-06-09 21:10:00,2019-06-10 12:00:00
F82,R1,FL82,2019-03-24 19:55:00,2019-03-24 22:35:00
F83,R2,FL83,2019-05-06 06:30:00,2019-05-07 04:40:00
F84,R3,FL84,2019-06-27 11:25:00,2019-06-27 21:00:00
F85,R3,FL85,2019-05-18 09:00:00,2019-05-18 19:00:00
F86,R1,FL86,2019-03-06 14:05:00,2019-03-07 11:25:00
